B1676	Tensione batteria fuori campo[Fiat]
P1723	Marcha 3 incorrecta
P1724	Marcha 4 incorrecta
P1725	Insuficiente velocidad motor incrementada durante diagnosis
P1726	Insuficiente velocidad motor decrementada durante diagnosis
P1727	Señal inductiva solenoide aire acondicionado - circuito defectuoso
P1728	Error transmision
P1729	Error Interruptor 4x4 bajo
P1730	Control marchas 2,3,5 - circuito defectuoso
P1731	Cambio marchas 1-2 - circuito defectuoso
P1732	Cambio marchas 2-3 - circuito defectuoso
P1733	Cambio marchas 3-4 - circuito defectuoso
P1734	Control marchas - circuito defectuoso
P1735	Interruptor marcha primera - circuito defectuoso
P1736	Interruptor marcha segunda - circuito defectuoso
P1737	Solenoide bloqueo sistema
P1738	Error tiempo cambio
P1739	Solenoide sistema
P1740	Señal inductiva convertidor embrague rotativo - circuito defectuoso
P1741	Error control convertidor embrague rotativo
P1742	Fallo Solenoide converidor embrague rotativo
P1743	Fallo Solenoide converidor embrague rotativo
P1744	Convertidor embrague rotativo - funcionamiento
P1745	Solenoide presion sistema
P1746	Solenoide control presion A - circuito abierto
P1747	Solenoide control presion A - cortocircuito
P1748	EPC - circuito defectuoso
P1749	Solenoide control presion - fallo bajo
P1751	Solenoide cambio A - funcionamiento
P1754	Solenoide embrague - circuito defectuoso
P1755	Sensor velocidad intermedio - circuito defectuodo
P1756	Solenoide cambio B - funcionamiento
P1760	Solenoide control presion A - cortocircuito
P1761	Solenoide cambio C - funcionamiento
P1762	Fallo Margen superior
P1765	Solenoide reglaje inyeccion - circuito defectuoso
P1767	Convertidor embrague rotativo - circuito defectuoso
P1768	modo funcionamiento normal/invierno - circuito defectuoso
P1769	Fallo modulacion par transmision (AG4)
P1770	Solenoide embrague - circuito defectuoso
P1775	Fallo testigo averias transmision
P1776	Fallo peticion retardo encendido
P1777	Fallo peticion retardo encendido
P1778	Transmision I/P - circuito defectuoso
P1779	Circuito TCIL defectuoso
P1780	Interruptor control transmision - fuera de rango
P1781	Interruptor 4X4 - fuera de rango
P1782	Circuito P/ES fuera de rango
P1783	Condicion sobretemperatura en transmision
P1784	Fallo mecanico en transmision - Primera y Atras
P1785	Fallo mecanico en transmision - Primera y Segunda
P1786	Error cambio marchas 3-2
P1787	Error cambio marchas 2-1
P1788	Solenoide control presion B - circuito abierto
P1789	Solenoide control presion B - cortocircuito
P1790	Transmision mecanica - circuito defectuoso
P1791	Transmision electrica - circuito defectuoso
P1792	Sensor presion barometrica - circuito defectuoso
P1793	Volumen aire admision - circuito defectuoso
P1794	Tension bateria
P1795	Interruptor ralenti - circuito defectuoso
P1796	Interruptor KickDown - circuito defectuoso
P1797	Interruptor punto muerto - circuito defectuoso
P1798	Temperatura refrigerante - circuito defectuoso
P1799	Interruptor mantenido - circuito defectuoso
P1800	Interruptor seguridad bloqueo embrague/transmision - circuito defectuoso
P1801	Interruptor seguridad bloqueo embrague/transmision - circuito abierto
P1802	Interruptor seguridad bloqueo embrague/transmision - corto a positivo
P1803	Interruptor seguridad bloqueo embrague/transmision - corto a masa
P1804	Indicador transmision alta 4 ruedas - circuito defectuoso
P1805	Indicador transmision alta 4 ruedas - circuito abierto
P1806	Indicador transmision alta 4 ruedas - corto a positivo
P1807	Indicador transmision alta 4 ruedas - corto a masa
P1808	Indicador transmision baja 4 ruedas - circuito defectuoso
P1809	Indicador transmision baja 4 ruedas - circuito abierto
P1810	Indicador transmision baja 4 ruedas - corto a positivo
P1811	Indicador transmision baja 4 ruedas - corto a masa
P1812	Modo seleccion transmision 4 ruedas - circuito defectuoso
P1813	Modo seleccion transmision 4 ruedas - circuito abierto
P1814	Modo seleccion transmision 4 ruedas - corto a positivo
P1815	Modo seleccion transmision 4 ruedas - corto a masa
P1816	Interruptor seguridad transmision punto muerto - circuito defectuoso
P1817	Interruptor seguridad transmision punto muerto - circuito abierto
P1818	Interruptor seguridad transmision punto muerto - corto a positivo
P1819	Interruptor seguridad transmision punto muerto - corto a masa
P1820	Rele cambio transferencia transmision - circuito defectuoso
P1821	Rele cambio transferencia transmision - circuito abierto
P1822	Rele cambio transferencia transmision - corto a positivo
P1823	Rele cambio transferencia transmision - corto a masa
P1824	Rele embrague transmision 4 ruedas - circuito defectuoso
P1825	Rele embrague transmision 4 ruedas - circuito abierto
P1826	Rele embrague transmision baja 4 ruedas - corto a positivo
P1827	Rele embrague transmision baja 4 ruedas - corto a masa
P1828	Rele cambio transferencia transmision - circuito defectuoso
P1829	Rele cambio transferencia transmision - circuito abierto
P1830	Rele cambio transferencia transmision - corto a positivo
P1831	Rele cambio transferencia transmision - corto a masa
P1832	Solenoide bloqueo diferencial transferencia transmision - circuito defectuoso
P1833	Solenoide bloqueo diferencial transferencia transmision - circuito abierto
P1834	Solenoide bloqueo diferencial transferencia transmision - corto a positivo
P1835	Solenoide bloqueo diferencial transferencia transmision - corto a masa
P1836	Sensor velocidad frontal transferencia transmision - circuito defectuoso
P1837	Sensor velocidad lateral transferencia transmision - circuito defectuoso
P1838	Motor cambio transferencia transmision - circuito defectuoso
P1839	Motor cambio transferencia transmision - circuito abierto
P1840	Motor cambio transferencia transmision - corto a positivo
P1841	Motor cambio transferencia transmision - corto a masa
P1842	Interruptor bloqueo diferencial transferencia transmision - circuito defectuoso
P1843	Interruptor bloqueo diferencial transferencia transmision - circuito abierto
P1844	Interruptor bloqueo diferencial transferencia transmision - corto a positivo
P1845	Interruptor bloqueo diferencial transferencia transmision - corto a masa
P1846	Contacto plata A transferencia transmision Transmission - circuito defectuoso
P1847	Contacto plata A transferencia transmision Transmission - circuito abierto
P1848	Contacto plata A transferencia transmision Transmission - corto a positivo
P1849	Contacto plata A transferencia transmision Transmission - corto a masaa
P1850	Contacto plata B transferencia transmision Transmission - circuito defectuoso
P1851	Contacto plata B transferencia transmision Transmission - circuito abierto
P1852	Contacto plata B transferencia transmision Transmission - corto a positivo
P1853	Contacto plata B transferencia transmision Transmission - corto a masa
P1854	Contacto plata C transferencia transmision Transmission - circuito defectuoso
P1855	Contacto plata C transferencia transmision Transmission - circuito abierto
P1856	Contacto plata C transferencia transmision Transmission - corto a positivo
P1857	Contacto plata C transferencia transmision Transmission - corto a masa
P1858	Contacto plata D transferencia transmision Transmission - circuito defectuoso
P1859	Contacto plata D transferencia transmision Transmission - circuito abierto
P1860	Contacto plata D transferencia transmision Transmission - corto a positivo
P1861	Contacto plata D transferencia transmision Transmission - corto a masa
P1862	Alimentacion contacto plata transferencia transmision - circuito defectuoso
P1863	Alimentacion contacto plata transferencia transmision - circuito abierto
P1864	Alimentacion contacto plata transferencia transmision - corto a positivo
P1865	Alimentacion contacto plata transferencia transmision - corto a masa
P1866	Transferencia transmision - servicio requerido
P1867	Contacto plata transferencia transmision - circuito defectuoso
P1868	Testigo transmision automatica 4 ruedas - circuito defectuoso
P1869	Testigo transmision automatica 4 ruedas - corto a positivo
P1870	Interruptor transferencia transmision mecanica 4x4 - circuito defectuoso
P1871	Interruptor transferencia transmision mecanica 4x4 - corto a positivo
P1872	Testigo bloqueo transmision mecanica 4 ruedas - circuito defectuoso
P1873	Testigo bloqueo transmision mecanica 4 ruedas - corto a positivo
P1874	Sensor alimentacion transmision automatica efecto Hall - circuito defectuoso
P1875	Sensor alimentacion transmision automatica efecto Hall - corto a positivo
P1876	Solenoide transferencia transmision 2 ruedas - circuito defectuoso
P1877	Solenoide transferencia transmision 2 ruedas - corto a positivo
P1878	Solenoide desencaje transferencia transmision - circuito defectuoso
P1879	Solenoide desencaje transferencia transmision - circuito abierto
P1880	Solenoide desencaje transferencia transmision - corto a positivo
P1881	Interruptor nivel refrigerante motor - circuito defectuoso
P1882	Interruptor nivel refrigerante motor - corto a masa
P1883	Interruptor nivel refrigerante motor - circuito defectuoso
P1884	Testigo Interruptor nivel refrigerante motor - corto a masa
P1885	Solenoide desencaje transferencia transmision - corto a masa
P1886	Fallo inicializacion 4x4
P1890	Seleccion modo transmision 4WD - circuito defectuoso
P1891	Contacto plata transferencia transmision - circuito abierto
P1900	Circuito OSS - interrupcion intermitente
P1901	Circuito TSS - Interrupcion intermitente
P1902	Solenoide B Control presion - intermitente/corto
P1903	Solenoide C Control presion - cortocircuito
P1904	Solenoide C Control presion - circuito abierto
P1905	Solenoide C Control presion - intermitente/corto
P1906	Rele kickdown forzado circuito abierto/cortocircuito masa
P1907	Rele kickdown mantenido circuito abierto/cortocircuito masa
P1908	Solenoide presion aceite transmision - abierto/cortocircuito a masa
P1909	Sensor temperatura aceite transmision - abierto/cortocircuito a masa
P1910	Fallo salida presion VFS A baja
P1911	Fallo salida presion VFS B baja
P1912	Fallo salida presion VFS C baja
P1913	Interruptor A presion - circuito defectuoso
P1914	Interruptor cambio Automatico/Manual - circuito defectuoso
P1915	Interruptor marcha atras - circuito defectuoso
P1916	Sensor velocidad altura cilindro embrague - circuito defectuoso
P1917	Sensor velocidad altura cilindro embrague - interrupcion intermitente
P1918	Display rango transmision - circuito defectuoso
P2000	Filtro oxidos nitrogeno
P2001	NOx Trap Efficiency Below Threshold (Bank 2)
P2002	Particulate Trap Efficiency Below Threshold (Bank 1)
P2003	Particulate Trap Efficiency Below Threshold (Bank 2)
P2004	Intake M anifold Runner Control Stuck O pen (Bank 1)
P2005	Intake Manifold Runner Control Stuck Open (Bank 2)
P2006	Intake Manifold Runner Control Stuck Closed (Bank 1)
P2007	Intake Manifold Runner Control Stuck Closed (Bank 2)
P2008	Solenoide control aire colector admision
P2009	Solenoide control aire colector admision - señal baja
P2010	Solenoide control aire colector admision - señal alta
P2011	Intake M anifold Runner Control Circuit/Open (Bank 2)
P2012	Intake Manifold Runner Control Circuit Low (Bank 2)
P2013	Intake Manifold Runner Control Circuit High (Bank 2)
P2014	Intake Manifold Runner Position Sensor/Switch Circuit (Bank 1)
P2015	Intake Manifold Runner Position Sensor/Switch Circuit Range/Performance (Bank 1)
P2016	Intake Manifold Runner Position Sensor/Switch Circuit Low (Bank 1)
P2017	Intake Manifold Runner Position Sensor/Switch Circuit High (Bank 1)
P2018	Intake Manifold Runner Position Sensor/Switch Circuit Intermittent (Bank 1)
P2019	Intake Manifold Runner Position Sensor/Switch Circuit (Bank 2)
P2020	Intake Manifold Runner Position Sensor/Switch Circuit Range/Performance (Bank 2)
P2021	Intake Manifold Runner Position Sensor/Switch Circuit Low (Bank 2)
P2022	Intake Manifold Runner Position Sensor/Switch Circuit High (Bank 2)
P2023	Intake Manifold Runner Position Sensor/Switch Circuit Intermittent (Bank 2)
P2024	Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Circuit
P2025	Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Performance
P2026	Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Circuit Low Voltage
P2027	Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Circuit High Voltage
P2028	Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Circuit Intermittent
P2029	Fuel Fired Heater Disabled
P2030	Fuel Fired Heater Performance
P2031	Exhaust Gas Temperature Sensor Circuit (Bank 1 Sensor 2)
P2032	Exhaust Gas Temperature Sensor Circuit Low (Bank 1 Sensor 2)
P2033	Exhaust Gas Temperature Sensor Circuit High (Bank 1 Sensor 2)
P2034	Exhaust Gas Temperature Sensor Circuit (Bank 2 Sensor 2)
P2035	Exhaust Gas Temperature Sensor Circuit Low (Bank 2 Sensor 2)
P2036	Exhaust Gas Temperature Sensor Circuit High (Bank 2 Sensor 2)
P2037	Inyeccion Aire secundario, sensor presion - circuito defectuoso
P2038	Reductant Injection Air Pressure Sensor Circuit Range/Performance
P2039	Reductant Injection Air Pressure Sensor Circuit Low Input
P2040	Reductant Injection Air Pressure Sensor Circuit High Input
P2041	Reductant Injection Air Pressure Sensor Circuit Interm ittent
P2042	Reductant Temperature Sensor Circuit
P2043	Reductant Temperature Sensor Circuit Range/Performance
P2044	Reductant Temperature Sensor Circuit Low Input
P2045	Reductant Temperature Sensor Circuit High Input
P2046	Reductant Temperature Sensor Circuit Intermittent
P2047	Inyeccion Aire secundario (bloque 1 unidad 1) - circuito defectuoso
P2048	Reductant Injector C ircuit Low (Bank 1 Unit 1)
P2049	Reductant Injector Circuit High (Bank 1 Unit 1)
P2050	Reductant Injector Circuit/Open (Bank 2 Unit 1)
P2051	Reductant Injector C ircuit Low (Bank 2 Unit 1)
P2052	Reductant Injector Circuit High (Bank 2 Unit 1)
P2053	Inyeccion Aire secundario (bloque 1 unidad 2) - circuito defectuoso
P2054	Reductant Injector C ircuit Low (Bank 1 Unit 2)
P2055	Reductant Injector Circuit High (Bank 1 Unit 2)
P2056	Reductant Injector Circuit/Open (Bank 2 Unit 2)
P2057	Reductant Injector C ircuit Low (Bank 2 Unit 2)
P2058	Reductant Injector Circuit High (Bank 2 Unit 2)
P2059	Reductant Injection Air Pump Control Circuit/Open
P2060	Reductant Injection A ir Pump Control C ircuit Low
P2061	Reductant Injection A ir Pump Control C ircuit High
P2062	Reductant Supply Control Circuit/Open
P2063	Reductant Supply Control Circuit Low
P2064	Reductant Supply Control Circuit High
P2065	Fuel Level Sensor 'B' Circuit
P2066	Fuel Level Sensor 'B' Performance
P2067	Fuel Level Sensor 'B' Circuit Low
P2068	Fuel Level Sensor 'B' Circuit High
P2069	Fuel Level Sensor 'B' Circuit Intermittent
P2070	Intake Manifold Tuning (IMT) Valve Stuck Open
P2071	Intake Manifold Tuning (IMT) Valve Stuck Closed
P2075	Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit
P2076	Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit Range/Performance
P2077	Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit Low
P2078	Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit High
P2079	Intake Manifold Tuning (IMT) Valve Position Sensor/Switch C ircuit Intermittent
P2080	Exhaust Gas Temperature Sensor Circuit Range/Performance (Bank 1 Sensor 1)
P2081	Exhaust Gas Temperature Sensor Circuit Intermittent (Bank 1 Sensor 1)
P2082	Exhaust Gas Temperature Sensor Circuit Range/Performance (Bank 2 Sensor 1)
P2083	Exhaust Gas Temperature Sensor Circuit Intermittent (Bank 2 Sensor 1)
P2084	Exhaust Gas Temperature Sensor Circuit Range/Performance (Bank 1 Sensor 2)
P2085	Exhaust Gas Temperature Sensor Circuit Intermittent (Bank 1 Sensor 2)
P2086	Exhaust Gas Temperature Sensor Circuit Range/Performance (Bank 2 Sensor 2)
P2087	Exhaust Gas Temperature Sensor Circuit Intermittent (Bank 2 Sensor 2)
P2088	A Camshaft Position Actuator Control Circuit Low (Bank 1)
P2089	A Camshaft Position Actuator Control Circuit High (Bank 1)
P2090	B Camshaft Position Actuator Control Circuit Low (Bank 1)
P2091	B Camshaft Position Actuator Control Circuit High (Bank 1)
P2092	A Camshaft Position Actuator Control Circuit Low (Bank 2)
P2093	A Camshaft Position Actuator Control Circuit High (Bank 2)
P2094	B Camshaft Position Actuator Control Circuit Low (Bank 2)
P2095	B Camshaft Position Actuator Control Circuit High (Bank 2)
P2096	Post Catalyst Fuel Trim System Too Lean (Bank 1)
P2097	Post Catalyst Fuel Trim System Too Rich (Bank 1)
P2098	Post Catalyst Fuel Trim System Too Lean (Bank 2)
P2099	Post Catalyst Fuel Trim System Too Rich (Bank 2)
P2100	Throttle Actuator Control M otor C ircuit/Open
P2101	Throttle Actuator Control M otor C ircuit Range/Performance
P2102	Throttle Actuator Control M otor C ircuit Low
P2103	Throttle Actuator Control M otor C ircuit High
P2104	Throttle Actuator Control System - Forced Idle
P2105	Throttle Actuator Control System - Forced Engine Shutdown
P2106	Throttle Actuator Control System - Forced Limited Power
P2107	Throttle Actuator Control M odule Processor
P2108	Throttle Actuator Control M odule Performance
P2109	Throttle/Pedal Position Sensor 'A' M inimum Stop Performance
P2110	Throttle Actuator Control System - Forced Limited RPM
P2111	Throttle Actuator Control System - Stuck Open
P2112	Throttle Actuator Control System - Stuck Closed
P2113	Throttle/Pedal Position Sensor 'B' Minimum Stop Performance
P2114	Throttle/Pedal Position Sensor 'C' M inimum Stop Performance
P2115	Throttle/Pedal Position Sensor 'D' M inimum Stop Performance
P2116	Throttle/Pedal Position Sensor 'E' Minimum Stop Performance
P2117	Throttle/Pedal Position Sensor 'F' Minimum Stop Performance
P2118	Throttle Actuator Control Motor Current Range/Performance
P2119	Throttle Actuator Control Throttle Body Range/Performance
P2120	Sensor/Interruptor posicion pedal acelerador D - circuito defectuoso
P2121	Throttle/Pedal Position Sensor/Switch 'D' Circuit Range/Performance
P2122	Throttle/Pedal Position Sensor/Switch 'D' Circuit Low Input
P2123	Throttle/Pedal Position Sensor/Switch 'D' Circuit High Input
P2124	Throttle/Pedal Position Sensor/Switch 'D' Circuit Interm ittent
P2125	Sensor/Interruptor posicion pedal acelerador E - circuito defectuoso
P2126	Throttle/Pedal Position Sensor/Switch 'E' Circuit Range/Performance
P2127	Throttle/Pedal Position Sensor/Switch 'E' Circuit Low Input
P2128	Throttle/Pedal Position Sensor/Switch 'E' Circuit High Input
P2129	Throttle/Pedal Position Sensor/Switch 'E' Circuit Interm ittent
P2130	Throttle/Pedal Position Sensor/Switch 'F' Circuit
P2131	Throttle/Pedal Position Sensor/Switch 'F' Circuit Range Performance
P2132	Throttle/Pedal Position Sensor/Switch 'F' Circuit Low Input
P2133	Throttle/Pedal Position Sensor/Switch 'F' Circuit High Input
P2134	Throttle/Pedal Position Sensor/Switch 'F' Circuit Interm ittent
P2135	Throttle/Pedal Position Sensor/Switch 'A' / 'B' Voltage Correlation
P2136	Throttle/Pedal Position Sensor/Switch 'A' / 'C' Voltage Correlation
P2137	Throttle/Pedal Position Sensor/Switch 'B' / 'C' Voltage Correlation
P2138	Throttle/Pedal Position Sensor/Switch 'D' / 'E' Voltage Correlation
P2139	Throttle/Pedal Position Sensor/Switch 'D' / 'F' Voltage Correlation
P2140	Throttle/Pedal Position Sensor/Switch 'E' / 'F' Voltage Correlation
P2141	Exhaust Gas Recirculation Throttle Control Circuit Low
P2142	Exhaust Gas Recirculation Throttle Control Circuit High
P2143	Exhaust Gas Recirculation Vent Control Circuit/Open
P2144	Exhaust Gas Recirculation Vent Control Circuit Low
P2145	Exhaust Gas Recirculation Vent Control Circuit High
P2146	Fuel Injector G roup 'A' Supply Voltage Circuit/Open
P2147	Fuel Injector G roup 'A' Supply Voltage Circuit Low
P2148	Fuel Injector G roup 'A' Supply Voltage Circuit H igh
P2149	Fuel Injector G roup 'B' Supply Voltage Circuit/Open
P2150	Fuel Injector G roup 'B' Supply Voltage Circuit Low
P2151	Fuel Injector G roup 'B' Supply Voltage Circuit H igh
P2152	Fuel Injector G roup 'C' Supply Voltage Circuit/Open
P2153	Fuel Injector G roup 'C' Supply Voltage Circuit Low
P2154	Fuel Injector G roup 'C' Supply Voltage Circuit H igh
P2155	Fuel Injector G roup 'D' Supply Voltage Circuit/Open
P2156	Fuel Injector G roup 'D' Supply Voltage Circuit Low
P2157	Fuel Injector G roup 'D' Supply Voltage Circuit H igh
P2158	Vehicle Speed Sensor 'B'
P2159	Vehicle Speed Sensor 'B' Range/Performance
P2160	Vehicle Speed Sensor 'B' Circuit Low
P2161	Vehicle Speed Sensor 'B' Interm ittent/Erratic
P2162	Vehicle Speed Sensor 'A' / 'B' Correlation
P2163	Throttle/Pedal Position Sensor 'A' M aximum Stop Performance
P2164	Throttle/Pedal Position Sensor 'B' M aximum Stop Performance
P2165	Throttle/Pedal Position Sensor 'C' M aximum Stop Performance
P2166	Throttle/Pedal Position Sensor 'D' M aximum Stop Performance
P2167	Throttle/Pedal Position Sensor 'E' M aximum Stop Performance
P2168	Throttle/Pedal Position Sensor 'F' Maximum Stop Performance
P2169	Exhaust Pressure Regulator Vent Solenoid Control C ircuit/Open
P2170	Exhaust Pressure Regulator Vent Solenoid Control C ircuit Low
P2171	Exhaust Pressure Regulator Vent Solenoid Control C ircuit High
P2172	Throttle Actuator Control System  Sudden High Airflow Detected
P2173	Throttle Actuator Control System  High Airflow Detected
P2174	Throttle Actuator Control System  Sudden Low Airflow Detected
P2175	Throttle Actuator Control System  Low Airflow Detected
P2176	Throttle Actuator Control System  Idle Position Not Learned
P2177	System Too Lean O ff Idle (Bank 1)
P2178	System Too R ich Off Idle (Bank 1)
P2179	System Too Lean O ff Idle (Bank 2)
P2180	System Too R ich Off Idle (Bank 2)
P2181	Cooling System Performance
P2182	Engine Coolant Temperature Sensor 2 Circuit
P2183	Engine Coolant Temperature Sensor 2 Circuit Range/Performance
P2184	Engine Coolant Temperature Sensor 2 Circuit Low
P2185	Engine Coolant Temperature Sensor 2 Circuit H igh
P2186	Engine Coolant Temperature Sensor 2 Circuit Intermittent/E rratic
P2187	System Too Lean at Idle (Bank 1)
P2188	System Too Rich at Idle (Bank 1)
P2189	System Too Lean at Idle (Bank 2)
P2190	System Too Rich at Idle (Bank 2)
P2191	System Too Lean at Higher Load (Bank 1)
P2192	System Too R ich at H igher Load (Bank 1)
P2193	System Too Lean at Higher Load (Bank 2)
P2194	System Too R ich at H igher Load (Bank 2)
P2195	O2 Sensor Signal Stuck Lean (Bank 1 Sensor 1)
P2196	O2 Sensor Signal Stuck Rich (Bank 1 Sensor 1)
P2197	O2 Sensor Signal Stuck Lean (Bank 2 Sensor 1)
P2198	O2 Sensor Signal Stuck Rich (Bank 2 Sensor 1)
P2199	Intake Air Temperature Sensor 1 / 2 Correlation
P2200	NOx Sensor Circuit (Bank 1)
P2201	NOx Sensor Circuit Range/Performance (Bank 1)
P2202	NOx Sensor Circuit Low Input (Bank 1)
P2203	NOx Sensor Circuit High Input (Bank 1)
P2204	NOx Sensor Circuit Intermittent Input (Bank 1)
P2205	NOx Sensor Heater Control Circuit/Open (Bank 1)
P2206	NOx Sensor Heater Control Circuit Low (Bank 1)
P2207	NOx Sensor Heater Control Circuit High (Bank 1)
P2208	NOx Sensor Heater Sense Circuit (Bank 1)
P2209	NOx Sensor Heater Sense Circuit Range/Performance (Bank 1)
P2210	NOx Sensor Heater Sense Circuit Low Input (Bank 1)
P2211	NOx Sensor Heater Sense Circuit High Input (Bank 1)
P2212	NOx Sensor Heater Sense Circuit Intermittent (Bank 1)
P2213	NOx Sensor Circuit (Bank 2)
P2214	NOx Sensor Circuit Range/Performance (Bank 2)
P2215	NOx Sensor Circuit Low Input (Bank 2)
P2216	NOx Sensor Circuit High Input (Bank 2)
P2217	NOx Sensor Circuit Intermittent Input (Bank 2)
P2218	NOx Sensor Heater Control Circuit/Open (Bank 2)
P2219	NOx Sensor Heater Control Circuit Low (Bank 2)
P2220	NOx Sensor Heater Control Circuit High (Bank 2)
P2221	NOx Sensor Heater Sense Circuit (Bank 2)
P2222	NOx Sensor Heater Sense Circuit Range/Performance (Bank 2)
P2223	NOx Sensor Heater Sense Circuit Low (Bank 2)
P2224	NOx Sensor Heater Sense Circuit High (Bank 2)
P2225	NOx Sensor Heater Sense Circuit Intermittent (Bank 2)
P2226	Barometric Pressure Circuit
P2227	Barometric Pressure Circuit Range/Performance
P2228	Barometric Pressure Circuit Low
P2229	Barometric Pressure Circuit H igh
P2230	Barometric Pressure Circuit Interm ittent
P2231	O2 Sensor Signal Circuit Shorted to Heater Circuit (Bank 1 Sensor 1)
P2232	O2 Sensor Signal Circuit Shorted to Heater Circuit (Bank 1 Sensor 2)
P2233	O2 Sensor Signal Circuit Shorted to Heater Circuit (Bank 1 Sensor 3)
P2234	O2 Sensor Signal Circuit Shorted to Heater Circuit (Bank 2 Sensor 1)
P2235	O2 Sensor Signal Circuit Shorted to Heater Circuit (Bank 2 Sensor 2)
P2236	O2 Sensor Signal Circuit Shorted to Heater Circuit (Bank 2 Sensor 3)
P2237	O2 Sensor Positive Current Circuit/Open (Bank 1 Sensor 1)
P2238	O2 Sensor Positive Current Circuit Low (Bank 1 Sensor 1)
P2239	O2 Sensor Positive Current Circuit High (Bank 1 Sensor 1)
P2240	O2 Sensor Positive Current Circuit/Open (Bank 2 Sensor 1)
P2241	O2 Sensor Positive Current Circuit Low (Bank 2 Sensor 1)
P2242	O2 Sensor Positive Current Circuit High (Bank 2 Sensor 1)
P2243	O2 Sensor Reference Voltage Circuit/Open (Bank 1 Sensor 1)
P2244	O2 Sensor Reference Voltage Performance (Bank 1 Sensor 1)
P2245	O2 Sensor Reference Voltage Circuit Low (Bank 1 Sensor 1)
P2246	O2 Sensor Reference Voltage Circuit High (Bank 1 Sensor 1)
P2247	O2 Sensor Reference Voltage Circuit/Open (Bank 2 Sensor 1)
P2248	O2 Sensor Reference Voltage Performance (Bank 2 Sensor 1)
P2249	O2 Sensor Reference Voltage Circuit Low (Bank 2 Sensor 1)
P2250	O2 Sensor Reference Voltage Circuit High (Bank 2 Sensor 1)
P2251	O2 Sensor Negative Current Control Circuit/Open (Bank 1 Sensor 1)
P2252	O2 Sensor Negative Current Control C ircuit Low (Bank 1 Sensor 1)
P2253	O2 Sensor Negative Current Control C ircuit High (Bank 1 Sensor 1)
P2254	O2 Sensor Negative Current Control Circuit/Open (Bank 2 Sensor 1)
P2255	O2 Sensor Negative Current Control C ircuit Low (Bank 2 Sensor 1)
P2256	O2 Sensor Negative Current Control C ircuit High (Bank 2 Sensor 1)
P2257	Secondary Air Injection System Control 'A' Circuit Low
P2258	Secondary Air Injection System Control 'A' Circuit High
P2259	Secondary Air Injection System Control 'B' Circuit Low
P2260	Secondary Air Injection System Control 'B' Circuit High
P2261	Turbo/Super Charger Bypass Valve - Mechanical
P2262	Turbo Boost Pressure Not Detected - Mechanical
P2263	Turbo/Super Charger Boost System Performance
P2264	Water in Fuel Sensor Circuit
P2265	Water in Fuel Sensor Circuit Range/Performance
P2266	Water in Fuel Sensor Circuit Low
P2267	Water in Fuel Sensor Circuit High
P2268	Water in Fuel Sensor Circuit Intermittent
P2269	Water in Fuel Condition
P2270	O2 Sensor Signal Stuck Lean (Bank 1 Sensor 2)
P2271	O2 Sensor Signal Stuck Rich (Bank 1 Sensor 2)
P2272	O2 Sensor Signal Stuck Lean (Bank 2 Sensor 2)
P2273	O2 Sensor Signal Stuck Rich (Bank 2 Sensor 2)
P2274	O2 Sensor Signal Stuck Lean (Bank 1 Sensor 3)
P2275	O2 Sensor Signal Stuck Rich (Bank 1 Sensor 3)
P2276	O2 Sensor Signal Stuck Lean (Bank 2 Sensor 3)
P2277	O2 Sensor Signal Stuck Rich (Bank 2 Sensor 3)
P2278	O2 Sensor Signals Swapped Bank 1 Sensor 3 / Bank 2 Sensor 3
P2279	Intake Air System Leak
P2280	Air Flow Restriction / Air Leak Between Air Filter and MAF
P2281	Air Leak Between MAF and Throttle Body
P2282	Air Leak Between Throttle Body and Intake Valves
P2283	Injector Control Pressure Sensor Circuit
P2284	Injector Control Pressure Sensor Circuit Range/Performance
P2285	Injector Control P ressure Sensor C ircuit Low
P2286	Injector Control Pressure Sensor Circuit High
P2287	Injector Control Pressure Sensor Circuit Intermittent
P2288	Inyector - presion control alta
P2289	Injector Control Pressure Too High  Engine Off
P2290	Injector Control Pressure Too Low
P2291	Inyector - presion control baja durante arranque
P2292	Injector Control Pressure Erratic
P2293	Fuel Pressure Regulator 2 Performance
P2294	Fuel Pressure Regulator 2 C ontrol Circuit
P2295	Fuel Pressure Regulator 2 C ontrol Circuit Low
P2296	Fuel Pressure Regulator 2 C ontrol Circuit High
P2297	O2 Sensor Out of Range During Deceleration (Bank 1 Sensor 1)
P2298	O2 Sensor Out of Range During Deceleration (Bank 2 Sensor 1)
P2299	Brake Pedal Position / Accelerator Pedal Position Incompatible
P2300	Ignition Coil 'A' Primary Control Circuit Low
P2301	Ignition Coil 'A' Primary Control Circuit H igh
P2302	Ignition Coil 'A' Secondary Circuit
P2303	Ignition Coil 'B' Primary Control Circuit Low
P2304	Ignition Coil 'B' Primary Control Circuit H igh
