B1676	Tensione batteria fuori campo[Fiat]
P0571	Interrutt. freno A cruise control
P0572	Interrutt. freno A C.C. cc a -
P0573	Interrutt. freno A C.C. cc a +
P0574	Cruise control eccessiva velocità
P0575	Ingresso cruise control
P0576	Ingresso cruise control cc a -
P0577	Ingresso cruise control cc a +
P0578	Cruise control
P0579	Cruise control
P0580	Cruise control
P0581	Input A multi-funzione Cruise control
P0582	Cruise control, Vacuum control
P0583	Cruise control, Vacuum control
P0584	Cruise control, Vacuum control
P0585	Correlazione input A/B Cruise control
P0586	Controllo sfiato Cruise control
P0587	Controllo sfiato Cruise control
P0588	Controllo sfiato Cruise control
P0589	Input B multi-funzione Cruise control
P0590	Input B multi-funzione Cruise control
P0591	Input B multi-funzione Cruise control
P0592	Input B multi-funzione Cruise control
P0593	Input B multi-funzione Cruise control
P0594	Cruise control, servo controllo
P0595	Cruise control, servo controllo
P0596	Cruise control, servo controllo
P0597	Controllo riscaldatore termostato
P0598	Controllo riscaldatore termostato
P0599	Controllo riscaldatore termostato
P0600	Linea comunicazione seriale o CAN bus
P0601	Errore memoria centralina
P0602	Errore programmaz. centralina
P0603	Errore memoria KAM/EEPROM
P0604	Errore memoria RAM centralina
P0605	Errore memoria ROM centralina
P0606	Processore centralina
P0607	Prestazioni centralina
P0608	Uscita VSS A centralina
P0609	Uscita VSS A centralina
P0610	Errore opzioni centralina
P0611	Processore controllo iniettori
P0612	Relè controllo iniettore carburante
P0613	Processore TCM
P0614	Incompatibilità ECM/TCM
P0615	Relè motorino avviam.
P0616	Relè motorino avviam. cc a -
P0617	Relè motorino avviam. cc a +
P0618	Errore memoria KAM centr. riserva
P0619	Errore memoria centr. riserva
P0620	Circuito controllo alternatore
P0621	Spia L alternatore
P0622	Campo F alternatore
P0623	Spia alternatore
P0624	Spia tappo carburante
P0625	basso
P0626	Terminale zona generatore - segnale alto
P0627	Controllo pompa A carburante
P0628	Controllo pompa A carburante
P0629	Controllo pompa A carburante
P0630	VIN errato in centralina motore
P0631	VIN errato in centralina trazione
P0632	Odometro non programmato - ECM/PCM
P0633	Chiave Immobilizer non programmata
P0634	Temperatura interna troppo alta
P0635	Attuat. servosterzo
P0636	Attuat. servosterzo cc a -
P0637	Attuat. servosterzo cc a +
P0638	Attuat. farfalla B1 s.errato
P0639	Attuat. farfalla B2 s.errato
P0640	Circ. riscald aria aspirata
P0641	Avaria tensione di riferimento A
P0642	Riferimento sensore voltaggio A
P0643	Riferimento sensore voltaggio A
P0644	Comunicazione seriale drive display
P0645	Circuito relè AC
P0646	Circuito relè AC cc a -
P0647	Circuito relè AC cc a +
P0648	Spia immobilizzatore
P0649	Spia controllo velocità
P0650	Spia malfunzionamento (MIL)
P0651	Avaria tensione di riferimento B
P0652	Tensione di riferimento sensore B-circuito basso
P0653	Tensione B di riferimento del sensore
P0654	Circuito uscita giri motore
P0655	Spia sovratemperatura motore
P0656	Indicatore livello carburante
P0657	Voltaggio A attuatore rifornimento
P0658	Voltaggio A attuatore rifornimento
P0659	Voltaggio A attuatore rifornimento
P0660	Valv. regolaz. aspirazione B1
P0661	Valv. reg. aspirazione B1 cc a -
P0662	Valv. reg. aspirazione B1 cc a +
P0663	Valv. regolaz. aspirazione B2
P0664	Valv. reg. aspirazione B2 cc a -
P0665	Valv. reg. aspirazione B2 cc a +
P0666	Sensore temperatura interna PCM/ECM/TCM
P0667	Sensore temperatura interna PCM/ECM/TCM
P0668	Sensore temperatura interna PCM/ECM/TCM
P0669	Sensore temperatura interna PCM/ECM/TCM
P0670	Modulo di controllo candela d`accensione
P0671	Candela d`accensione cilindro 1
P0672	Candela d`accensione cilindro 2
P0673	Candela d`accensione cilindro 3
P0674	Candela d`accensione cilindro 4
P0675	Candela d`accensione cilindro 5
P0676	Candela d`accensione cilindro 6
P0677	Candela d`accensione cilindro 7
P0678	Candela d`accensione cilindro 8
P0679	Candela d`accensione cilindro 9
P0680	Candela d`accensione cilindro 10
P0681	Candela d`accensione cilindro 11
P0682	Candela d`accensione cilindro 12
P0683	Controllo candela accensione
P0684	Controllo candela accensione
P0685	Relè controllo frizione aperta
P0686	Relè di controllo alimentazione ECM/PCM
P0687	Relè di controllo alimentazione ECM/PCM
P0688	Monitoraggio relè alimentazione ECM/PCM
P0689	Monitoraggio relè alimentazione ECM/PCM
P0690	Monitoraggio relè alimentazione ECM/PCM
P0691	Controllo ventola 1 - segnale basso
P0692	Controllo ventola 1 - segnale alto
P0693	Controllo ventola 2 - segnale basso
P0694	Controllo ventola 2 - segnale alto
P0695	Controllo ventola 3 - segnale basso
P0696	Controllo ventola 3 - segnale alto
P0697	Tensione C di riferimento del sensore
P0698	Tensione C di riferimento del sensore
P0699	Tensione C di riferimento del sensore
P0700	Controllo trasmissione
P0701	Controllo trasmissione s.errato
P0702	Controllo trasmissione p.elettrico
P0703	Circ. B interr. freni/conv. coppia
P0704	Interruttore frizione
P0705	Ingresso marcia cambio
P0706	Ingresso marcia s.errato
P0707	Ingresso marcia cc a -
P0708	Ingresso marcia cc a +
P0709	Ingresso marcia intermitt.
P0710	Sens. temp. trasmissione
P0711	Sens. temp. trasmiss. s.errato
P0712	Sens. temp. trasmiss. cc a -
P0713	Sens. temp. trasmiss. cc a +
P0714	Sens. temp. trasmiss. intermitt.
P0715	Sens.vel.turbina/Vel.ang.disco frizione
P0716	Sens. velocità turbina s.errato
P0717	Sens. vel. turbina senza segnale
P0718	Sens. velocità turbina intermitt.
P0719	Circ. B interr. freni cc a -
P0720	Sens. giri trasmissione / Velocità auto
P0721	Sensore giri trasmiss. s.errato
P0722	Sens. giri trasmiss. senza segnale
P0723	Sensore giri trasmiss. intermitt.
P0724	Circ. B interr. freni cc a +
P0725	Segnale giri motore/Vel. angolare motore
P0726	Trasmiss. segn. giri motore errato
P0727	Trasmiss. senza segn. giri motore
P0728	Trasmiss. segn.giri motore interm.
P0729	Rapporto marcia 6 non corretto
P0730	Rapporto marcia errato
P0731	Rapporto 1a marcia errato
P0732	Rapporto 2a marcia errato
P0733	Rapporto 3a marcia errato
P0734	Rapporto 4a marcia errato
P0735	Rapporto 5a marcia errato
P0736	Rapporto retromarcia errato
P0737	TCM circ. veloc. motore
P0738	TCM circ. veloc. motore cc a -
P0739	TCM circ. veloc. motore cc a +
P0740	Frizione conv. coppia
P0741	Frizione conv. coppia OFF
P0742	Frizione conv. coppia ON
P0743	Frizione conv. coppia p.elettrico
P0744	Frizione conv. coppia intermitt.
P0745	Solen. A contr. P
P0746	Solen. A contr. P OFF
P0747	Solen. A contr. P ON
P0748	Solen. A contr. P p.elettrico
P0749	Solen. A contr. P intermitt.
P0750	Solenoide A cambio
P0751	Solen. A cambio OFF
P0752	Solen. A cambio ON
P0753	Solen. A cambio p.elettrico
P0754	Solen. A cambio intermitt.
P0755	Solenoide B cambio
P0756	Solen. B cambio OFF
P0757	Solen. B cambio ON
P0758	Solen. B cambio p.elettrico
P0759	Solen. B cambio intermitt.
P0760	Solenoide C cambio
P0761	Solen. C cambio OFF
P0762	Solen. C cambio ON
P0763	Solen. C cambio p.elettrico
P0764	Solen. C cambio intermitt.
P0765	Solenoide D cambio
P0766	Solen. D cambio OFF
P0767	Solen. D cambio ON
P0768	Solen. D cambio p.elettrico
P0769	Solen. D cambio intermitt.
P0770	Solenoide E cambio
P0771	Solen. E cambio OFF
P0772	Solen. E cambio ON
P0773	Solen. E cambio p.elettrico
P0774	Solen. E cambio intermitt.
P0775	Solen. B contr. P
P0776	Solen. B contr. P OFF
P0777	Solen. B contr. P ON
P0778	Solen. B contr. P p.elettrico
P0779	Solen. B contr. P intermitt.
P0780	Cambio
P0781	Cambio 1-2
P0782	Cambio 2-3
P0783	Cambio 3-4
P0784	Cambio 4-5
P0785	Solenoide cambio/fasatura
P0786	Solen. cambio s.errato
P0787	Solen. cambio cc a -
P0788	Solen. cambio cc a +
P0789	Solen. cambio intermitt.
P0790	Int. normale-sport / Int. auto incollato
P0791	Sens. vel. albero intermedio
P0792	Sens. vel. albero intermedio
P0793	Sens. vel. albero intermedio
P0794	Sens. vel. albero intermedio
P0795	Solen. C contr. P
P0796	Solen. C contr. P OFF
P0797	Solen. C contr. P ON
P0798	Solen. C contr. P p.elettrico
P0799	Solen. C contr. P intermitt.
P0800	di segnalazione avaria-funzionamento difettoso
P0801	Inibizione retromarcia
P0802	segnalazione avaria-circuito interrotto
P0803	Solen. aumento marcia 1-4
P0804	Spia aumento marcia 1-4
P0805	Sens. pos. frizione
P0806	Sens. pos. frizione s.errato
P0807	Sens. pos. frizione cc a -
P0808	Sens. pos. frizione cc a +
P0809	Sens. pos. frizione intermitt.
P0810	Attuatore frizione
P0811	Slittamento frizione
P0812	Ingresso retromarcia
P0813	Uscita retromarcia
P0814	Visualizz. campo trasmiss.
P0815	Interrutt cambio verso alto
P0816	Interrutt cambio verso basso
P0817	Disabilit. motorino avviamento
P0818	Interr. scolleg. albero trasmiss.
P0819	Correl.interr.leva cambio e trasmissione
P0820	Sens. pos. XY leva cambio
P0821	Sens. pos. X leva cambio
P0822	Sens. pos. Y leva cambio
P0823	Sens. X leva cambio intermitt.
P0824	Sens. Y leva cambio intermitt.
P0825	Interr. push-pull leva cambio
P0826	Circuito input interruttore leva cambio
P0827	Circuito input interruttore leva cambio
P0828	Circuito input interruttore leva cambio
P0829	Spostamento 5-6
P0830	Interr. frizione A
P0831	Interr. frizione A cc a -
P0832	Interr. frizione A cc a +
P0833	Interr. frizione B
P0834	Interr. frizione B cc a -
P0835	Interr. frizione B cc a +
P0836	Interr. 4WD
P0837	Interr. 4WD s.errato
P0838	Interr. 4WD cc a -
P0839	Interr. 4WD cc a +
P0840	Sens. P trasmiss. A
P0841	Sens. P trasmiss. A s.errato
P0842	Sens. P trasmiss. A cc a -
P0843	Sens. P trasmiss. A cc a +
P0844	Sens. P trasmiss. A intermitt.
P0845	Sens. P trasmiss. B
P0846	Sens. P trasmiss. B s.errato
P0847	Sens. P trasmiss. B cc a -
P0848	Sens. P trasmiss. B cc a +
P0849	Sens. P trasmiss. B intermitt.
P0850	Circuito input interruttore Park/Neutral
P0851	Circuito input interruttore Park/Neutral
P0852	Circuito input interruttore Park/Neutral
P0853	Circuito input azionamento interruttore
P0854	Circuito input azionamento interruttore
P0855	Circuito input azionamento interruttore
P0856	Segnale input controllo trazione
P0857	Segnale input controllo trazione
P0858	Segnale input controllo trazione
P0859	Segnale input controllo trazione
P0860	Modulo comunicazione interruttore cambio
P0861	Modulo comunicazione interruttore cambio
P0862	Modulo comunicazione interruttore cambio
P0863	Circuito comunicazione TCM
P0864	Circuito comunicazione TCM
P0865	Circuito comunicazione TCM
P0866	Circuito comunicazione TCM
P0867	Pressione fluido trasmissione
P0868	Pressione bassa fluido trasmissione
P0869	Pressione alta fluido trasmissione
P0870	Sensore C pressione fluido trasmissione
P0871	Sensore C pressione fluido trasmissione
P0872	Sensore C pressione fluido trasmissione
P0873	Sensore C pressione fluido trasmissione
P0874	Sensore C pressione fluido trasmissione
P0875	Sensore D pressione fluido trasmissione
P0876	Sensore D pressione fluido trasmissione
P0877	Sensore D pressione fluido trasmissione
P0878	Sensore D pressione fluido trasmissione
P0879	Sensore D pressione fluido trasmissione
P0880	Input Alimentazione TCM
P0881	Input Alimentazione TCM - fuori range
P0882	Input Alimentazione TCM-Segnale basso
P0883	Input Alimentazione TCM-Segnale alto
P0884	Input alimentazione TCM-Intermittente
P0885	Controllo Relè Alim.TCM-Circuito Aperto
P0886	Controllo Relè Alim.TCM-Segnale Basso
P0887	Controllo Relè Alim.TCM-Segnale Alto
P0888	Monitoraggio Relè Alimentazione TCM
P0889	Monitoraggio Relè Alimentazione TCM
P0890	Monitoraggio Relè Alimentazione TCM
P0891	Monitoraggio Relè Alimentazione TCM
P0892	Monitoraggio Relè Alimentazione TCM
P0893	Più marce inserite
P0894	Slittamento componente di trasmissione
P0895	Tempo inserimento marce troppo corto
P0896	Tempo inserimento marce troppo lungo
P0897	Fluido di trasmissione deteriorato
P0898	Sistema controllo trasmissione MIL
P0899	Sistema controllo trasmissione MIL
P0900	Azionatore frizione - Circuito aperto
P0901	Azionatore frizione - fuori range
P0902	Azionatore frizione - Segnale basso
P0903	Azionatore frizione - Segnale alto
P0904	Circuito posizione selettore marce
P0905	Posizione selettore marce
P0906	Posizione selettore marce
P0907	Posizione selettore marce
P0908	Posizione selettore marce
P0909	Controllo errore selettore marce
P0910	Attuatore selettore marce
P0911	Attuatore selettore marce
P0912	Attuatore selettore marce
P0913	Attuatore selettore marce
P0914	Circuito posizione leva cambio
P0915	Posizione leva cambio - Fuori range
P0916	Posizione leva cambio - Segnale basso
P0917	Posizione leva cambio - Segnale Alto
P0918	Posizione leva cambio - Intermittente
P0919	Controllo errore posizione leva cambio
P0920	Attuatore Marcia avanti leva cambio
P0921	Attuatore Marcia avanti leva cambio
P0922	Attuatore Marcia avanti leva cambio
P0923	Attuatore Marcia avanti leva cambio
P0924	Attuatore retro marcia leva cambio
P0925	Attuatore retro marcia leva cambio
P0926	Attuatore retro marcia leva cambio
P0927	Attuatore retro marcia leva cambio
P0928	Solenoide blocco leva cambio
P0929	Solenoide blocco leva cambio
P0930	Solenoide blocco leva cambio
P0931	Solenoide blocco leva cambio
P0932	Sensore pressione idraulica
P0933	Sensore pressione idraulica
P0934	Sensore pressione idraulica
P0935	Sensore pressione idraulica
P0936	Sensore pressione idraulica
P0937	Sensore temperatura olio idraulico
P0938	Sensore temperatura olio idraulico
P0939	Sensore temperatura olio idraulico
P0940	Sensore temperatura olio idraulico
P0941	Sensore temperatura olio idraulico
P0942	Unità di pressione idraulica
P0943	Periodo Unità Press.idraulica Corto
P0944	Unità pressione idraulica
P0945	Relè pompa idraulica - circuito aperto
P0946	Relè pompa idraulica - fuori range
P0947	Relè pompa idraulica - Segnale basso
P0948	Relè pompa idraulica - Segnale alto
P0949	Adattamento manuale cambio automatico
P0950	Controllo manuale cambio automatico
P0951	Controllo manuale cambio automatico
P0952	Controllo manuale cambio automatico
P0953	Controllo manuale cambio automatico
P0954	Controllo manuale cambio automatico
P0955	Modo manuale cambio automatico
P0956	Modo manuale cambio automatico
P0957	Modo manuale cambio automatico
P0958	Modo manuale cambio automatico
P0959	Modo manuale cambio automatico
P0960	Solenoide A controllo pressione
P0961	Solenoide A controllo pressione
P0962	Solenoide A controllo pressione
P0963	Solenoide A controllo pressione
P0964	Solenoide B controllo pressione
P0965	Solenoide B controllo pressione
P0966	Solenoide B controllo pressione
P0967	Solenoide B controllo pressione
P0968	Solenoide C controllo pressione
P0969	Solenoide C controllo pressione
P0970	Solenoide C controllo pressione
P0971	Solenoide C controllo pressione
P0972	Controllo solen.A cambio - Fuori range
P0973	Controllo solen.A cambio-Segnale basso
P0974	Controllo solen.A cambio-Segnale alto
P0975	Controllo solen.B cambio - Fuori range
P0976	Controllo solen.B cambio-Segnale basso
P0977	Controllo solen.B cambio-Segnale alto
P0978	Controllo solen.C cambio - Fuori range
P0979	Controllo solen.C cambio-Segnale basso
P0980	Controllo solen.C cambio-Segnale alto
P0981	Controllo solen.D cambio - Fuori range
P0982	Controllo solen.D cambio-Segnale basso
P0983	Controllo solen.D cambio-Segnale alto
P0984	Controllo solen.E cambio - Fuori range
P0985	Controllo solen.E cambio-Segnale basso
P0986	Controllo solen.E cambio-Segnale alto
P0987	Sensore E Pressione Fluido Trasmissione
P0988	Sensore E Pressione Fluido Trasmissione
P0989	Sensore E Pressione Fluido Trasmissione
P0990	Sensore E Pressione Fluido Trasmissione
P0991	Sensore E Pressione Fluido Trasmissione
P0992	Sensore F Pressione Fluido Trasmissione
P0993	Sensore F Pressione Fluido Trasmissione
P0994	Sensore F Pressione Fluido Trasmissione
P0995	Sensore F Pressione Fluido Trasmissione
P0996	Sensore F Pressione Fluido Trasmissione
P0997	Controllo solen.F cambio - Fuori range
P0998	Controllo solen.F cambio-Segnale basso
P0999	Controllo solen.F cambio-Segnale alto
P2000	Efficienza filtro ossidante
P2001	Efficienza filtro ossidante
P2002	Efficenza filtro particolato diesel
P2003	Efficenza filtro particolato diesel
P2004	Controllo collettore di aspirazione
P2005	Controllo collettore di aspirazione
P2006	Controllo collettore di aspirazione
P2007	Controllo collettore di aspirazione
P2008	Controllo collettore di aspirazione
P2009	Controllo collettore di aspirazione
P2010	Controllo collettore di aspirazione
P2011	Controllo collettore di aspirazione
P2012	Controllo collettore di aspirazione
P2013	Controllo collettore di aspirazione
P2014	Posizione collettore di aspirazione
P2015	Posizione collettore di aspirazione
P2016	Posizione collettore di aspirazione
P2017	Posizione collettore di aspirazione
P2018	Posizione collettore di aspirazione
P2019	Posizione collettore di aspirazione
P2020	Posizione collettore di aspirazione
P2021	Posizione collettore di aspirazione
P2022	Posizione collettore di aspirazione
P2023	Posizione collettore di aspirazione
P2024	Sensore temperatura vapori carburante
P2025	Sensore temperatura vapori carburante
P2026	Sensore temperatura vapori carburante
P2027	Sensore temperatura vapori carburante
P2028	Sensore temperatura vapori carburante
P2029	Riscaldatore carburante iniettato
P2030	Prestazione riscaldatore carburante
P2031	Sensore temperatura gas di scarico
P2032	Sensore temperatura gas di scarico
P2033	Sensore temperatura gas di scarico
P2034	Sensore temperatura gas di scarico
P2035	Sensore temperatura gas di scarico
P2036	Sensore temperatura gas di scarico
P2037	Sensore pressione aria
P2038	Sensore pressione aria
P2039	Sensore pressione aria
P2040	Sens.pressione aria iniezione riducente
P2041	Sens.pressione aria iniezione riducente
P2042	Sensore temperatura riduzione
P2043	Sensore temperatura riduzione
P2044	Sensore temperatura riduzione
P2045	Sensore temperatura riduzione
P2046	Sensore temperatura riduzione
P2047	Iniettore riduzione - circuito aperto
P2048	Iniettore riduzione - segnale basso
P2049	Iniettore riduzione - segnale alto
P2050	Iniettore riduzione - circuito aperto
P2051	Iniettore riduzione - segnale basso
P2052	Iniettore riduzione - segnale alto
P2053	Iniettore riduzione - circuito aperto
P2054	Iniettore riduzione - segnale basso
P2055	Iniettore riduzione - segnale alto
P2056	Iniettore riduzione - circuito aperto
P2057	Iniettore riduzione - segnale basso
P2058	Iniettore riduzione - segnale alto
P2059	Controllo pompa aria
P2060	Controllo pompa aria
P2061	Controllo pompa aria
P2062	Controllo rifornimento riducente gassoso
P2063	Controllo rifornimento riducente gassoso
P2064	Controllo rifornimento riducente gassoso
P2065	Sensore B livello carburante
P2066	Sensore B livello carburante
P2067	Sensore B livello carburante
P2068	Sensore B livello carburante
P2069	Sensore B livello carburante
P2070	Valvola sincroniz.collettore aspiraz.
P2071	Valvola sincroniz.collettore aspiraz.
P2072	Controllo Attuatore valvola farfalla
P2073	Collett.press/massa assoluta flusso aria
P2074	Collett.press/massa assoluta flusso aria
P2075	Sens.posizione valv.collettore aspiraz.
P2076	Sens.posizione valv.collettore aspiraz.
P2077	Sens.posizione valv.collettore aspiraz.
P2078	Sens.posizione valv.collettore aspiraz.
P2079	Sens.posizione valv.collettore aspiraz.
P2080	Sensore temperatura gas di scarico
P2081	Sensore temperatura gas di scarico
P2082	Sensore temperatura gas di scarico
P2083	Sensore temperatura gas di scarico
P2084	Sensore temperatura gas di scarico
P2085	Sensore temperatura gas di scarico
P2086	Sensore temperatura gas di scarico
P2087	Sensore temperatura gas di scarico
P2088	Controllo posiz.attuatore albero camme A
P2089	Controllo posiz.attuatore albero camme A
P2090	Controllo posiz.attuatore albero camme B
P2091	Controllo posiz.attuatore albero camme B
P2092	Controllo posiz.attuatore albero camme A
P2093	Controllo posiz.attuatore albero camme A
P2094	Controllo posiz.attuatore albero camme B
P2095	Controllo posiz.attuatore albero camme B
P2096	Regolazione lambda dopo il catalizzatore
P2097	Regolazione lambda dopo il catalizzatore
P2098	Regolazione lambda dopo il catalizzatore
P2099	Regolazione lambda dopo il catalizzatore
P2100	Motore controllo attuatore valv.farfalla
P2101	Motore controllo attuatore valv.farfalla
P2102	Motore controllo attuatore valv.farfalla
P2103	Motore controllo attuatore valv.farfalla
P2104	Sist. controllo attuatore valv.farfalla
P2105	Sist. controllo attuatore valv.farfalla
P2106	Sist. controllo attuatore valv.farfalla
P2107	Processore contr.attuat.valv.farfalla
P2108	Prestaz.controllo attuat.valv.farfalla
P2109	Sensore A posizione farfalla/pedale
P2110	Controllo Attuatore valvola farfalla
P2111	Controllo Attuatore valvola farfalla
P2112	Controllo Attuatore valvola farfalla
P2113	Controllo Attuatore valvola farfalla
P2114	Controllo Attuatore valvola farfalla
P2115	Controllo Attuatore valvola farfalla
P2116	Controllo Attuatore valvola farfalla
P2117	Controllo Attuatore valvola farfalla
P2118	Corrente motore attuatore valv.farfalla
P2119	Controllo Attuatore valvola farfalla
P2120	Sensore D posizione valv.farfalla/Pedale
P2121	Sensore D posizione valv.farfalla/Pedale
P2122	Sensore D posizione valv.farfalla/Pedale
P2123	Sensore D posizione valv.farfalla/Pedale
P2124	Sensore D posizione valv.farfalla/Pedale
P2125	Sensore E posizione valv.farfalla/Pedale
P2126	Sensore E posizione valv.farfalla/Pedale
P2127	Sensore E posizione valv.farfalla/Pedale
P2128	Sensore E posizione valv.farfalla/Pedale
P2129	Sensore E posizione valv.farfalla/Pedale
P2130	Sensore F posizione valv.farfalla/Pedale
P2131	Sensore F posizione valv.farfalla/Pedale
P2132	Sensore F posizione valv.farfalla/Pedale
P2133	Sensore F posizione valv.farfalla/Pedale
P2134	Sensore F posizione valv.farfalla/Pedale
P2135	Correlazione sensore A/B valv.farfalla/Pedale
P2136	Correlazione sensore A/C valv.farfalla/Pedale
P2137	Correlazione sensore B/C valv.farfalla/Pedale
P2138	Correlazione sensore D/E valv.farfalla/Pedale
P2139	Correlazione sensore D/F valv.farfalla/Pedale
P2140	Correlazione sensore E/F valv.farfalla/Pedale
P2141	Valvola farfalla ricircolo gas scarico
P2142	Valvola farfalla ricircolo gas scarico
P2143	Bocchetta ricircolo gas di scarico
P2144	Bocchetta ricircolo gas di scarico
P2145	Bocchetta ricircolo gas di scarico
P2146	Tensione alimentazione iniettore carburante
P2147	Tensione alimentazione iniettore carburante
P2148	Tensione alimentazione iniettore carburante
P2149	Tensione alimentazione iniettore carburante
P2150	Tensione alimentazione iniettore carburante
P2151	Tensione alimentazione iniettore carburante
P2152	Tensione alimentazione iniettore carburante
P2153	Tensione alimentazione iniettore carburante
P2154	Tensione alimentazione iniettore carburante
P2155	Tensione alimentazione iniettore carburante
P2156	Tensione alimentazione iniettore carburante
P2157	Tensione alimentazione iniettore carburante
P2158	Sensore B velocità veicolo
P2159	Sensore B velocità veicolo
P2160	Sensore B velocità veicolo
P2161	Sensore B velocità veicolo
P2162	Correlazione sens.A/B velocità veicolo
P2163	Sensore A posizione valv.farfalla/Pedale
P2164	Sensore B posizione valv.farfalla/Pedale
P2165	Sensore C posizione valv.farfalla/Pedale
P2166	Sensore D posizione valv.farfalla/Pedale
P2167	Sensore E posizione valv.farfalla/Pedale
P2168	Sensore F posizione valv.farfalla/Pedale
P2169	Solen.sfiato regolatore press.scarico
P2170	Solen.sfiato regolatore press.scarico
P2171	Solen.sfiato regolatore press.scarico
P2172	Controllo Attuatore valvola farfalla
P2173	Controllo Attuatore valvola farfalla
P2174	Controllo Attuatore valvola farfalla
P2175	Controllo Attuatore valvola farfalla
P2176	Controllo Attuatore valvola farfalla
P2177	Sistema troppo magro regime minimo off
P2178	Sistema troppo ricco regime minimo off
P2179	Sistema troppo magro regime minimo off
P2180	Sistema troppo ricco regime minimo off
P2181	Prestazione sistema refrigerante
P2182	Sens.2 temperatura refrigerante motore
P2183	Sens.2 temperatura refrigerante motore
P2184	Sens.2 temperatura refrigerante motore
P2185	Sens.2 temperatura refrigerante motore
P2186	Sens.2 temperatura refrigerante motore
P2187	Sistema troppo magro a regime minimo
P2188	Sistema troppo ricco a regime minimo
P2189	Sistema troppo magro a regime minimo
P2190	Sistema troppo ricco a regime minimo
P2191	Sistema troppo magro a pieno carico
P2192	Sistema troppo ricco a pieno carico
P2193	Sistema troppo magro a pieno carico
P2194	Sistema troppo ricco a pieno carico
P2195	Sonda lambda polarizzata/bloccata magra
P2196	Sonda lambda polarizzata/bloccata ricca
P2197	Sonda lambda polarizzata/bloccata magra
P2198	Sonda lambda polarizzata/bloccata ricca
P2199	Correlazione 1/2 temp.aria aspirata
P2200	Sensore Nox - bancata 1
P2201	Sensore Nox - bancata 1
P2202	Sensore Nox - bancata 1
P2203	Sensore Nox - bancata 1
P2204	Sensore Nox - bancata 1
P2205	Sensore NOx controllo riscaldatore
P2206	Sensore NOx controllo riscaldatore
P2207	Sensore NOx controllo riscaldatore
P2208	Sensore NOx misurazione riscaldamento
P2209	Sensore NOx misurazione riscaldamento
P2210	Sensore NOx misurazione riscaldamento
P2211	Sensore NOx misurazione riscaldamento
P2212	Sensore NOx misurazione riscaldamento
P2213	Sensore Nox - bancata 2
P2214	Sensore NOx - fuori range
P2215	Sensore NOx - input basso
P2216	Sensore NOx - input alto
P2217	Sensore NOx - segnale intermittente
P2218	Sensore NOx controllo riscaldatore
P2219	Sensore NOx controllo riscaldatore
P2220	Sensore NOx controllo riscaldatore
P2221	Sensore NOx misurazione riscaldamento
P2222	Sensore NOx misurazione riscaldamento
P2223	Sensore NOx misurazione riscaldamento
P2224	Sensore NOx misurazione riscaldamento
P2225	Sensore NOx misurazione riscaldamento
P2226	Pressione barometrica
P2227	Pressione barometrica
P2228	Pressione barometrica
P2229	Pressione barometrica
P2230	Pressione barometrica
P2231	Sonda lambda in corto col riscaldatore
P2232	Sonda lambda in corto col riscaldatore
P2233	Sonda lambda in corto col riscaldatore
P2234	Sonda lambda in corto col riscaldatore
P2235	Sonda lambda in corto col riscaldatore
P2236	Sonda lambda in corto col riscaldatore
P2237	Sonda lambda controllo corrente positivo
P2238	Sonda lambda controllo corrente positivo
P2239	Sonda lambda controllo corrente positivo
P2240	Sonda lambda controllo corrente positivo
P2241	Sonda lambda controllo corrente positivo
P2242	Sonda lambda controllo corrente positivo
P2243	sonda lambda tensione di riferimento
P2244	sonda lambda tensione di riferimento
P2245	sonda lambda tensione di riferimento
P2246	sonda lambda tensione di riferimento
P2247	sonda lambda tensione di riferimento
P2248	sonda lambda prestazione tensione rifer.
P2249	sonda lambda tensione di riferimento
P2250	sonda lambda tensione di riferimento
P2251	Sonda lambda controllo corrente negativo
P2252	Sonda lambda controllo corrente negativo
P2253	Sonda lambda controllo corrente negativo
P2254	Sonda lambda controllo corrente negativo
P2255	Sonda lambda controllo corrente negativo
P2256	Sonda lambda controllo corrente negativo
P2257	Controllo sist.secondario iniezione aria
P2258	Controllo sist.secondario iniezione aria
P2259	Controllo sist.secondario iniezione aria
P2260	Controllo sist.secondario iniezione aria
P2261	Valvola esclusione turbo
P2262	Pressione turbo non rilevata
P2263	Prestazione turbo
P2264	Sensore acqua nel combustibile
P2265	Sensore acqua nel combusti
P2266	Water in Fuel Sensor Circuit Low
P2267	Water in Fuel Sensor Circuit High
P2268	Water in Fuel Sensor Circuit Intermittent
P2269	Water in Fuel Condition
P2270	O2 Sensor Signal Stuck Lean
P2271	O2 Sensor Signal Stuck Rich
P2272	O2 Sensor Signal Stuck Lean
P2273	O2 Sensor Signal Stuck Rich
P2274	O2 Sensor Signal Stuck Lean
P2275	O2 Sensor Signal Stuck Rich
P2276	O2 Sensor Signal Stuck Lean
P2277	O2 Sensor Signal Stuck Rich
P2278	O2 Sensor Signals Swapped Bank 1 Sensor 3 / Bank 2 Sensor 3
P2279	Intake Air System Leak
P2280	Air Flow Restriction / Air Leak Between Air Filter and MAF
P2281	Air Leak Between MAF and Throttle Body
P2282	Air Leak Between Throttle Body and Intake Valves
P2283	Injector Control Pressure Sensor Circuit
P2284	Injector Control Pressure Sensor Circuit Range/Performance
P2285	Injector Control Pressure Sensor Circuit Low
P2286	Injector Control Pressure Sensor Circuit High
